product_A,product_B,product_C,product_D,product_E,processed_at,cancelled_at,financial_status,person_id,billing_city,billing_state
0,0,1,0,0,2020-01-01 08:02:29 UTC,,paid,QmxkQi1OVAJCnHhfd7lRP7uRkniwxjo51BR6i4lPk/4=,São Paulo,São Paulo
0,0,1,1,0,2020-01-02 15:14:49 UTC,,paid,aOSgAYOuG05sldfAHhP9EJAPoaRXHz3MApCvz/ywuMY=,São Paulo,São Paulo
0,0,0,1,0,2020-05-18 08:16:30 UTC,,paid,UNcuZslJ0yQVIH7ZHqEw8imWvmGOHVEwWmo1m2Y11yE=,Aparecida do Taboado,Mato Grosso do Sul
0,0,2,0,0,2020-05-29 12:01:25 UTC,,paid,a/HhG1GeKoJ4/HWNSYg0aIJjwGvQuacN8xzn1ETbNh8=,Jundiaí,São Paulo
0,1,1,0,0,2020-05-21 14:51:49 UTC,,paid,JoyQclINSH2gCcTNjONezpqC1T1lnx0fbB9f2eDvTVc=,Paranaguá,Paraná
1,1,1,1,0,2020-08-07 20:21:54 UTC,2020-08-17 10:20:47 UTC,pending,NZph7pzNUvEdrimUe8m8woCyl+SjbTFRGE+7X5qmQ2Q=,Niterói,Rio de Janeiro
1,0,1,0,0,2020-08-07 13:44:59 UTC,2020-08-17 10:18:58 UTC,pending,Nn5wiSsXtQ3UavfDNCSgQrJYKHOLG7tI0WLhplPwkL8=,Ferraz de Vasconcelos,São Paulo
0,0,1,0,0,2020-08-08 15:38:04 UTC,2020-08-17 10:23:39 UTC,pending,2oJA+pP7b4woMntU5fiuMK0jQja3qZFlJaGZwBHFWzY=,Santa Maria,Rio Grande do Sul
0,0,1,0,0,2020-08-09 19:18:51 UTC,,paid,dy2RlfJdO5/nrXQwjC9a8WozoqKeUTObaMz3+uwf3l0=,Lauro Müller,Santa Catarina
1,0,0,0,0,2020-08-11 01:12:17 UTC,,paid,L724tfVOfotqMVwiakDpQlo/4lWB6d7YJGXVm8/6MfM=,Rio Grande,Rio Grande do Sul
0,0,1,1,0,2020-03-19 12:17:53 UTC,,paid,J0ylzHwcqUhxHNUWMu7dBHp8c8jexf0fsSFAqja8cLA=,São Paulo,São Paulo
0,1,0,1,0,2020-04-29 12:11:42 UTC,,paid,YZW2+pjhZKMzXBxD0YR0jyqNVr79zP9hPSRMiCUVWnI=,Colatina,Espírito Santo
0,0,1,1,0,2020-04-03 15:41:02 UTC,,paid,dKyUqQ7GjfRx8Tslpv05AxL89+zzAjl/E6E/oMtMBFQ=,Cuiabá,Mato Grosso
0,0,1,1,0,2020-04-01 19:05:16 UTC,,paid,tuB2+fMOGGHjn8EzW1Y7CCJSFJlHw1XuQWNyJ/vBUSU=,São Paulo,São Paulo
0,1,0,0,0,2020-04-28 21:57:59 UTC,,paid,jhC7JZ3DWMaTkY2t+P9TkqTwmFcYXm5i+8eK4lAb4LA=,Fortaleza,Ceará
0,1,0,1,0,2020-05-14 01:25:55 UTC,,paid,CxGMCB3PpWtpZBhy8UxPmKQr6thbyeEIHY7XooxIA5A=,Palhoça,Santa Catarina
0,1,1,0,0,2020-05-15 14:01:16 UTC,,paid,u0y7JLW+aPW/gqFOtMBlgIwCWv/+lwDXyRxM1+YNbaE=,Belo Horizonte,Minas Gerais
0,1,0,0,0,2020-05-15 15:16:00 UTC,,paid,WznzfKV9oC77vAOCfUE3jxzhyMi7m0m/siw8q0DZo/M=,Campinas,São Paulo
0,0,0,1,0,2020-03-03 16:07:26 UTC,2020-03-11 10:05:26 UTC,pending,PkS6vkXwPfWdS4LmNQEr9XHWNU7j5107FDEz7sXTNrQ=,São Paulo,São Paulo
0,0,2,1,0,2020-03-09 16:33:18 UTC,,paid,HgmAnbSI3jNuPBASWJlkZ5D0heIb3ajbnYCmbGKUtys=,São Paulo,São Paulo
0,0,1,1,0,2020-04-02 18:08:41 UTC,,paid,8jDYgSeVkmrqOpZ/O8WoRB9054aHszdnCcOs3PzyPN4=,Jaguariúna,São Paulo
0,0,1,0,0,2020-04-03 14:04:33 UTC,,paid,AELV7D/YU1VmQvmcpy8oGHtb0OyyI1RdqRVUgCtU5H0=,São Paulo,São Paulo
0,0,1,1,0,2020-03-07 18:15:52 UTC,2020-03-16 10:43:24 UTC,pending,ce8QoUMaebAZc0H2B2J+HPEBMFFgzocXvRNqyqykwe8=,Canoas,Rio Grande do Sul
0,0,0,1,0,2020-03-07 12:28:41 UTC,2020-03-16 10:42:21 UTC,pending,PTR8mB38RTfTb+zP9c1UJvAlCS/VfqRv9r3EljynmG0=,Serra,Espírito Santo
0,0,1,1,0,2020-03-07 01:48:37 UTC,,paid,rbWAUzjZpz7Y51WpDync99ksWoubBr2wWNc2Qch5jgU=,Ponta Grossa,Paraná
1,1,1,1,0,2020-08-11 02:15:54 UTC,,paid,UJeOd6kA8orbuQ22jJ2CV/f3knPVnNah2JSO8p7TPGg=,Nova Cruz,Rio Grande do Norte
0,0,2,0,0,2020-08-09 14:00:27 UTC,,paid,OL2xwxIDmuzVzjxsMDR4qdporainKwCg+T2DTX3WvOI=,Brasília,Distrito Federal
0,0,1,0,0,2020-02-10 02:18:33 UTC,,paid,JnsLVK8nNRUgnJWpw5bcQA29yHafS4fj/lRsw7bkLUY=,Belo Horizonte,Minas Gerais
0,0,0,1,0,2020-03-02 22:00:30 UTC,2020-03-10 10:06:43 UTC,pending,PNkfdh56HCCHjqBKCs/gXhi3Qg/kuBB6s+/LxS96ctE=,Boa Esperança,Minas Gerais
0,0,1,1,0,2020-03-05 22:38:50 UTC,,paid,SeOiTGaN02ODb9+M8CKF6uecAJK/AhAHSo6ofyhxp0M=,Santa Maria,Rio Grande do Sul
0,0,1,1,0,2020-03-04 11:17:28 UTC,,paid,pSaIOrbBMPSJgC6EeXDCFznxMQPjh4LYiLiAGw7h1K8=,Recife,Pernambuco
0,0,1,1,0,2020-03-07 02:13:33 UTC,,paid,mAiBS0vzBOJil4fSH4GBX5nfZdKaG8Dr6bEvW6t1YOc=,São Paulo,São Paulo
0,0,1,0,0,2020-03-09 06:55:40 UTC,,paid,5LrsFwbftQEpQEUsSCGNiBWaNmV9Dp4ijmqT9r7bbqg=,Uberlândia,Minas Gerais
1,0,0,0,0,2020-06-15 14:46:23 UTC,2020-06-23 10:03:09 UTC,pending,TsQCnp3KyL3hkMd4TySQq/2S2tQHKjESgpqvFkXjSuM=,Novo Hamburgo,Rio Grande do Sul
0,0,1,0,0,2020-06-22 13:41:27 UTC,,paid,XxDLHjXQF2doF33IlcuTf4yxSs8FiiE9C+4/LTOUtew=,São Paulo,São Paulo
0,0,1,1,0,2020-05-01 23:19:32 UTC,,paid,0hLrBZflDRyCLHImVeKoLZcOi3iZYNcV+p3SNmYZFHE=,Serra,Espírito Santo
0,1,1,0,0,2020-04-30 22:00:28 UTC,2020-05-11 10:31:32 UTC,pending,A5+qfnec2QoGcjkwRYydWRSvO4R+ORlCWifmJP26jjc=,São Paulo,São Paulo
0,0,1,1,0,2020-02-12 11:41:45 UTC,,paid,h6G77/Cean48/VZ9oQl7lVwSMFwln1tRA15ycgpKdSo=,Porto Alegre,Rio Grande do Sul
0,1,0,0,0,2020-07-30 00:24:28 UTC,,paid,7on7bHakslPj4LMRUlyFF2bVa4mTT1AXZjqxphpokyM=,Goiânia,Goiás
0,0,0,1,0,2020-01-07 15:06:09 UTC,,paid,TkioVpnDK5LK3bAgGXIc+epAsiF/UYA81bVGRMgyVVQ=,Taubaté,São Paulo
0,0,1,1,0,2020-01-13 23:15:44 UTC,,paid,Ja0j5QDcDknzE0h1Ed1iWty0fJZOvmh+BM4C34YaWgY=,São Paulo,São Paulo
0,0,1,0,0,2020-01-10 15:22:39 UTC,,paid,b6Bd+tD9UnYVYXQqUjCo9rrrky8MBfHHMBvukueSZ1s=,Joinville,Santa Catarina
1,1,1,1,0,2020-07-15 13:54:54 UTC,,paid,cShsvtrNjGojfI/qzlcXj9AY+LB7fGxMOfMbsWQi9sE=,Santa Maria do Suaçuí,Minas Gerais
0,0,1,1,0,2020-02-03 18:16:57 UTC,,paid,AYnrOwF/1Z7zcjIOiUoPw703ZoZo+fHCjddRo8PvCIg=,Brasília,Distrito Federal
1,1,1,1,0,2020-07-05 00:44:46 UTC,,paid,MSQHxTAyne98AMjPZL0HFlDd/9X6+ceJLQU+Ig8WEg0=,Jaú,São Paulo
0,0,0,0,1,2020-07-07 13:39:19 UTC,,paid,ARClmk74qiS+nMPQAjIppWivXx0Ug4EBXoOJNOMtR4E=,Propriá,Sergipe
1,0,0,0,0,2020-06-09 16:29:43 UTC,,paid,QuobZMpT6IODvjk2b226+D15nJ7kiSaLqKi6Lv1LhZI=,Patos,Paraíba
1,1,0,0,0,2020-06-22 21:46:05 UTC,,paid,3QlUr4J/Z7C7tIU5MnbDl84n032zgeMotyj5FlfbhvA=,Araçatuba,São Paulo
0,0,2,0,0,2020-04-20 21:09:25 UTC,,paid,WgFltvcc0+P1JncdQMXg+kAZ47TvbI1fd3WX6DqAkR0=,São Paulo,São Paulo
0,0,0,1,0,2020-04-13 09:24:33 UTC,,paid,aIKmMJ6RJeY4mvMe6KR9XPf/iK6xRbTrdDA8OQ2ZkQQ=,Manaus,Amazonas
0,0,1,0,0,2020-04-16 21:25:49 UTC,,paid,EW1iaNMAQMrelubYXs7GJvlpUW+c9S/AYDFhNRtnpHs=,Rio de Janeiro,Rio de Janeiro
0,0,0,1,0,2020-08-05 16:23:01 UTC,,paid,7zCfRQEmreu8iJlUUi28aZfnWv1xDUYcxz16NORn4Ds=,Camaquã,Rio Grande do Sul
0,0,0,1,0,2020-08-06 00:01:49 UTC,,paid,u54yyCssanquHTRJ4cKkSE6AVEhwa87w0Dr3bpPs3OM=,Brasília,Distrito Federal
1,1,0,1,0,2020-08-05 19:07:55 UTC,,paid,sv4zpHaFB3+AdjkgRKdYtPLrbSpayqUfAetoj56OeG4=,Porto Alegre,Rio Grande do Sul
0,0,0,0,1,2020-07-31 02:52:27 UTC,2020-08-10 10:16:32 UTC,pending,M8ZRKKNoWV3f5LborLYGrfJnwpldCAQULjlBh9aw9dY=,Joinville,Santa Catarina
0,1,0,0,0,2020-08-02 11:31:59 UTC,2020-08-10 10:25:19 UTC,pending,3todU92uBDwzZOxtgXQnJJx/b4p/76lbmYWCkx/DBng=,Cabo Frio,Rio de Janeiro
0,0,1,0,0,2020-01-28 11:29:34 UTC,,paid,pNW0qdEAVIbgIVyMvsT+VlMbPJAXDr6pKxUen2hLGxQ=,Francisco Beltrão,Paraná
0,0,1,1,0,2020-02-11 19:26:43 UTC,,paid,9vUECItwXZ8N6Hf5FllOpGJkuiyQbuU8KQmzBM1e+ts=,São Paulo,São Paulo
0,0,1,0,0,2020-02-11 10:11:58 UTC,,paid,MsVrycxFuX29rSrL+/8ubOapUeu8Rw6VNsHPYlzgjfs=,São Paulo,São Paulo
0,0,1,1,0,2020-03-29 18:16:24 UTC,,paid,H4qnJXpgYhY+tXOWcHEG4r52kg8xgfKq7UzbOx3q5vg=,Vila Velha,Espírito Santo
0,0,1,1,0,2020-04-18 19:11:12 UTC,,paid,GmUV8wgXZd3rx7OUH6Wr34hsesLu+Yhu08k/piyoVFw=,São Paulo,São Paulo
0,1,1,1,0,2020-05-06 16:52:06 UTC,,paid,NNGsgPkH6W0ahblkobV008VJe05eVELwjb08FTtXD/Y=,São Paulo,São Paulo
0,0,1,1,0,2020-05-04 13:13:16 UTC,,paid,NiLG0xgidAaC020CWxm3d/6fZAfcLr6vO9CubEXt+aY=,Nova Iguaçu,Rio de Janeiro
0,0,1,0,0,2020-05-02 20:34:43 UTC,,paid,hkVccLGOpWdcrbN/hm/k1YKoCWmhsf/GFPwLU6TLB6w=,São Vicente,São Paulo
